,Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,4,1k 1% 1206 3/4W,"Fixed Resistor, Metal Glaze/thick Film, 0.75W, 1000ohm, 250V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206","R8A, R8B, R8C, R8D, R8E, R8F, R8G, R8H, R8I, R8J, R8K, R12A, R12B, R12C, R12D, R12E, R12F, R12G, R12H, R12I, R12J, R12K",CMP-009-00397-1,Up to date,22,Bourns,CHP1206AFX-1001ELF,Volume Production,Mouser,652-CHP1206AFX1001EL,0.27981,30.77951
,14,3k3 1% 0603 1/3W,"Fixed Resistor, Metal Glaze/thick Film, 0.33W, 3300ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603","R16A, R16B, R16C, R16D, R16E, R16F, R16G, R16H, R16I, R16J, R16K, R17A, R17B, R17C, R17D, R17E, R17F, R17G, R17H, R17I, R17J, R17K",CMP-009-00398-1,Up to date,22,Vishay,CRCW06033K30FKEAHP,Volume Production,Mouser,71-CRCW06033K30FKEAH,0.05166,5.68237
,18,4u7 25V X5R 0603,4u7 25V X5R 0603,"C4, C8",CMP-001-00143-8,Up to date,2,Murata,GRM188C81E475KE11D,Volume Production,Mouser,81-GRM188C81E475KE1D,0.12484,1.2484
,41,74438356220,"General Purpose Inductor, 22uH, 20%, 1 Element, Metal Alloy-Core, SMD, 1616",L1,CMP-00007-1,Up to date,1,Wurth Electronics,74438356220,Unknown,Mouser,710-74438356220,3.05643,15.28213
,40,74437324082,"General Purpose Inductor, 8.2uH, 20%, 1 Element, Powdered  Iron-Core, SMD, 1816",L2,CMP-006-00044-1,Up to date,1,Wurth Electronics,74437324082,Unknown,Mouser,710-74437324082,2.09502,10.47508
,32,76k8 0.1% 0603,Res Thin Film 0603 76.8K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD Automotive T/R,R1,CMP-009-00402-1,Up to date,1,Yageo,RT0603BRD0776K8L,Volume Production,Mouser,603-RT0603BRD0776K8L,0.06744,0.67442
,27,11k8 0.1% 0603,Res Thin Film 0603 11.8K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD Automotive T/R,R2,CMP-009-00401-1,Up to date,1,Yageo,RT0603BRD0711K8L,Volume Production,Mouser,603-RT0603BRD0711K8L,0.14349,0.71747
,15,4k7 1% 0603,4k7 1% 0603,R3,CMP-009-00188-6,Out of date,1,Bourns,CR0603-FX-4701ELF,Volume Production,Mouser,652-CR0603FX-4701ELF,0.01722,0.17219
,31,69k8 0.1% 0603,Res Thin Film 0603 69.8K Ohm 0.1% 0.1W(1/10W) ±25ppm/°C Molded SMD Punched Carrier T/R,R4,CMP-009-00399-1,Out of date,1,TE Connectivity,CPF0603B69K8E1,Unknown,Mouser,279-CPF0603B69K8E1,0.6655,3.33
,28,22k1 0.1% 0603,"Fixed Resistor, Thin Film, 0.1W, 22100ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603",R5,CMP-009-00404-1,Out of date,1,Panasonic,ERA-3AEB2212V,Volume Production,Mouser,667-ERA-3AEB2212V,0.15784,0.78922
,30,54k9 1% 0603,"Fixed Resistor, Metal Glaze/thick Film, 0.1W, 54900ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603","R9A, R9B, R9C, R9D, R9E, R9F, R9G, R9H, R9I, R9J, R9K, R10A, R10B, R10C, R10D, R10E, R10F, R10G, R10H, R10I, R10J, R10K, R13A, R13B, R13C, R13D, R13E, R13F, R13G, R13H, R13I, R13J, R13K, R14A, R14B, R14C, R14D, R14E, R14F, R14G, R14H, R14I, R14J, R14K",CMP-009-00403-2,Up to date,44,KOA Speer,RK73H1JTTD5492F,Volume Production,Mouser,660-RK73H1JTTD5492F,0.01865,4.10393
,45,FCS0V224ZFTBR24,Radial Can - SMD Electric Double Layer Capacitor Fc 3.5V 220MF -20% +80% 0.421DIA 10.70MM,C16,CMP-001-00329-2,Up to date,1,KEMET,FCS0V224ZFTBR24,Volume Production,Mouser,80-FCS0V224ZFTBR24,5.59627,27.98137
,58,SMC30J28A,"Trans Voltage Suppressor Diode, 3000W, 28V V(RWM), Unidirectional, 1 Element, Silicon, DO-214AB",D5,CMP-004-00491-1,Up to date,1,STMicroelectronics,SMC30J28A,Volume Production,Mouser,511-SMC30J28A,1.66453,8.32266
,43,DRV8243SQRXYRQ1,"Automotive 40-V, 12-A H-bridge driver with integrated current sensing and feedback 14-VQFN-HR -40 to 125","U12A, U12B, U12C, U12D, U12E, U12F",CMP-00024-00016-4,Up to date,6,Texas Instruments,DRV8243SQRXYRQ1,Volume Production,Mouser,595-DRV8243SQRXYRQ1,5.28059,158.4176
,16,4k7 1% 0603 NTC,4k7 1% 0603 NTC,"R36, R37, R38, R39, R40, R41",CMP-009-00406-1,Up to date,6,Vishay BCcomponents,NTCS0603E3472FHT,Volume Production,Mouser,594-NTCS0603E3472FHT,0.82366,24.7097
,2,0R 1% 0402,"Metal Glaze/thick Film, 0.063W, 0ohm, Surface Mount, 0402","R43A, R43B, R44A, R44B",CMP-009-00410-1,Up to date,4,Vishay Dale,CRCW04020000Z0EE,Volume Production,Mouser,71-CRCW04020000Z0EE,0.01722,0.34439
,55,PCAL9722HN/Q900MP,Low-Voltage Translating 22-Bit Spi I/O Expander - Aec_Q100 Compliant Rohs Compliant: Yes,"U11A, U11B",CMP-031-00028-3,Up to date,2,NXP Semiconductors,PCAL9722HN/Q900MP,Volume Production,Mouser,771-PCAL9722HNQ900MP,2.10936,21.09365
,57,SIT1533AI-H4-DCC-32.768E,"LVCMOS Output Clock Oscillator, 0.032768MHz Nom",U5,CMP-00023-00004-3,Up to date,1,SiTime,SIT1533AI-H4-DCC-32.768E,Volume Production,Mouser,788-1533AIH4DCC32.76,1.77933,8.89664
,50,LP2951ACDMR2G,"Fixed/Adjustable Positive LDO Regulator, 1.25V Min, 29V Max, 0.45V Dropout, BIPolar, PDSO8","U13A, U13B, U13C, U13D",CMP-019-00068-2,Out of date,4,ON Semiconductor,LP2951ACDMR2G,Volume Production,Mouser,863-LP2951ACDMR2G,0.49936,9.9872
